id,name,display_name,production_budget,production_year,movie_sequel,creative_type,source,production_method,genre,language,board_rating_reason,movie_board_rating_display_name,movie_release_pattern_display_name,Category
7970115,"Avengers, The (2011)",Marvel's The Avengers,225000000,2012,0,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,English,intense sequences sci fi violence action throughout mild drug reference,PG-13,Wide,6
174540115,Dark Knight Rises The,The Dark Knight Rises,0,2012,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,intense sequences violence action sensuality language,PG-13,Wide,7
149080115,Bond 23,Skyfall,200000000,2012,1,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,English,intense violent sequences throughout sexuality language smoking,PG-13,Wide,6
136020115,Twilight Saga Breaking Dawn Part 2 The,"The Twilight Saga: Breaking Dawn, Part 2",136200000,2012,1,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,English,sequences violence including disturbing images sensuality partial nudity,PG-13,Wide,7
53500115,"Hobbit, The",The Hobbit: An Unexpected Journey,270000000,2012,1,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,extended sequences intense fantasy action violence frightening images,PG-13,Wide,8
109880115,Spider-Man 4,The Amazing Spider-Man,220000000,2012,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,English,sequences action violence,PG-13,Wide,8
168300115,Brave,Brave,0,2012,0,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,scary action rude humor,PG,Wide,5
72600115,Madagascar 3,Madagascar 3: Europe's Most Wanted,0,2012,1,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,mild action rude humor,PG,Wide,7
154940115,Reboot Ralph,Wreck-It Ralph,165000000,2012,0,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,rude humor mild action violence,PG,Wide,5
149170115,Ice Age Continental Drift,Ice Age: Continental Drift,0,2012,1,Fantasy,Original Screenplay,Digital Animation,Adventure,English,mild rude humor action peril,PG,Wide,7
165580115,Magic Mike,Magic Mike,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,pervasive sexual content brief graphic nudity language drug use,R,Wide,3
162770115,Argo,Argo,44000000,2012,0,Historical Fiction,Based on Factual Book/Article,Live Action,Thriller/Suspense,English,language violent images,R,Wide,3
157720115,Journey 2 Mysterious Island,Journey 2: The Mysterious Island,0,2012,1,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,English,adventure action brief mild language,PG,Wide,6
49060115,"Guardians, The",Rise of The Guardians,145000000,2012,0,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,English,thematic elements mildly scary action,PG,Wide,6
172620115,Flight,Flight,31000000,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,English,drug alcohol abuse language sexuality nudity intense action sequence,R,Wide,2
157400115,Think Like a Man,Think Like a Man,12000000,2012,0,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,English,sexual content crude humor brief drug use,PG-13,Wide,4
155940115,Expendables II The,The Expendables II,100000000,2012,1,Contemporary Fiction,Original Screenplay,Live Action,Action,English,strong bloody violence throughout,R,Wide,3
137650115,Clash of the Titans 2,Wrath of the Titans,150000000,2012,1,Fantasy,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Adventure,English,intense sequences fantasy violence action,PG-13,Wide,8
158730115,Act of Valor,Act of Valor,12000000,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Action,English,strong violence including torture language,R,Wide,3
173270115,Jack Reacher,Jack Reacher,60000000,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,English,violence language drug material,PG-13,Wide,2
171590115,Tyler Perrys Madeas Witness Protection,Tyler Perry's Madea's Witness Protection,0,2012,1,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,crude sexual remarks brief drug references,PG-13,Wide,4
170620115,Mirror Mirror,Mirror Mirror,85000000,2012,0,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,English,fantasy action mild rude humor,PG,Wide,4
173050115,Pitch Perfect,Pitch Perfect,17000000,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,English,sexual material language drug references,PG-13,Expands Wide,3
139900115,Total Recall (Remake),Total Recall,0,2012,0,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,English,intense sequences sci fi violence action sexual content brief nudity language,PG-13,Wide,5
157170115,American Reunion,American Reunion,50000000,2012,1,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,crude sexual content throughout nudity language brief drug use teen drinking,R,Wide,3
167700115,Paranormal Activity 4,Paranormal Activity 4,5000000,2012,1,Fantasy,Original Screenplay,Live Action,Horror,English,language violence terror,R,Wide,3
165200115,Parental Guidance,Parental Guidance,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,rude humor,PG,Wide,3
162160115,Diary of a Wimpy Kid Dog Days,Diary of a Wimpy Kid: Dog Days,0,2012,1,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,English,rude humor,PG,Wide,5
165610115,Sinister,Sinister,0,2012,0,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,English,disturbing violent images terror,R,Wide,2
159330115,Savages,Savages,0,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,strong brutal grisly violence graphic sexuality nudity drug use language throughout,R,Wide,3
143910115,Best Exotic Marigold Hotel The,The Best Exotic Marigold Hotel,0,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,English,sexual content language,PG-13,Limited,1
154950115,Resident Evil 5,Resident Evil Retribution,0,2012,1,Science Fiction,Based on Game,Live Action,Action,English,sequences strong violence throughout,R,Wide,4
157940115,What to Expect When Your Expecting,What to Expect When You're Expecting,37500000,2012,0,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,English,crude sexual content thematic elements language,PG-13,Wide,4
169740115,End of Watch,End of Watch,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,strong violence disturbing images pervasive language including sexual references drug use,R,Wide,2
168990115,Trouble with the Curve,Trouble with the Curve,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,English,language sexual references thematic material smoking,PG-13,Wide,2
166590115,Silver Linings Playbook The,The Silver Linings Playbook,21000000,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,English,language sexual content nudity,R,Limited,3
173390115,2016,2016,0,2012,0,Factual,Based on Factual Book/Article,Live Action,Documentary,English,thematic elements brief language smoking images,PG,Limited,1
169050115,Alex Cross,Alex Cross,0,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,English,violence including disturbing images sexual content language drug references nudity,PG-13,Wide,2
170830115,Katy Perry Part of Me 3D,Katy Perry: Part of Me 3D,12000000,2012,0,Factual,Based on Real Life Events,Live Action,Concert/Performance,English,suggestive content language thematic elements brief smoking,PG,Wide,2
167140115,Sparkle (2012),Sparkle,10000000,2012,0,Historical Fiction,Remake,Live Action,Drama,English,mature thematic content involving domestic abuse drug material violence language smoking,PG-13,Wide,2
160170115,Texas Chainsaw Massacre 3D The,The Texas Chainsaw Massacre 3D,0,2012,1,Contemporary Fiction,Original Screenplay,Live Action,Horror,English,strong grisly violence language throughout,R,Wide,3
139470115,Man on the Ledge,Man on a Ledge,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,violence brief strong language,PG-13,Wide,4
171830115,Silent Hill Revolution 3D,Silent Hill Revelation 3D,20000000,2012,1,Fantasy,Based on Game,Live Action,Horror,English,violence disturbing images language brief nudity,R,Wide,4
167340115,Nero Fiddled,To Rome With Love,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,English,sexual references,R,Limited,1
171980115,Raven The,The Raven,0,2012,0,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,bloody violence grisly images,R,Wide,2
170850115,Master The,The Master,37500000,2012,0,Historical Fiction,Original Screenplay,Live Action,Drama,English,sexual content graphic nudity language,R,Limited,2
170350115,Seven Psychopaths,Seven Psychopaths,13500000,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,strong violence bloody images pervasive language sexuality nudity drug use,R,Limited,4
171190115,Killing Them Softly,Killing Them Softly,15000000,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,violence sexual references pervasive language drug use,R,Wide,3
172670115,Hit and Run (2012),Hit and Run,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,pervasive language including sexual references graphic nudity violence drug content,R,Limited,4
157250115,Gone,Gone,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,violence terror sexual material brief language drug references,PG-13,Wide,4
163250115,Anna Karenina (2012),Anna Karenina,0,2012,0,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,English,sexuality violence,R,Limited,2
168690115,Words The,The Words,6000000,2012,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,English,brief strong language smoking,PG-13,Wide,2
169330115,Beasts of the Southern Wild,Beasts of the Southern Wild,0,2012,0,Fantasy,Based on Play,Live Action,Drama,English,thematic material including child imperilment disturbing images language brief sensuality,PG-13,Limited,3
169680115,Cirque du Soleil Worlds Away,Cirque du Soleil World's Away,0,2012,0,Fantasy,Original Screenplay,Live Action,Drama,English,dramatic images mild sensuality,PG,Wide,3
168630115,To the Arctic 3D,To the Arctic 3D,0,2012,0,Factual,Based on Real Life Events,Live Action,Documentary,English,general,G,IMAX,1
161060115,Fun Size,Fun Size ,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,crude suggestive material partying language,PG-13,Wide,3
167170115,Arbitrage,Arbitrage,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,language brief violent images drug use,R,Limited,3
171340115,Collection The,The Collection,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Horror,English,strong bloody violence grisly images language brief nudity,R,Wide,1
165190115,Of Men and Mavericks,Chasing Mavericks,20000000,2012,0,Dramatization,Based on Real Life Events,Live Action,Drama,English,thematic elements perilous action,PG,Wide,1
170510115,For Greater Glory,For Greater Glory,0,2012,0,Dramatization,Based on Real Life Events,Live Action,Action,Spanish,war violence disturbing images,R,Limited,2
158530115,Zero Dark Thirty,Zero Dark Thirty,52500000,2012,0,Dramatization,Based on Real Life Events,Live Action,Drama,English,strong violence including brutal disturbing images language,R,Exclusive,1
167420115,Serbuan maut,Serbuan maut,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Action,Indonesian/Balinese,strong brutal bloody violence throughout language,R,Limited,2
169570115,Safety Not Guarenteed,Safety Not Guaranteed,0,2012,0,Science Fiction,Original Screenplay,Live Action,Comedy,English,language including sexual references,R,Limited,4
169470115,Hyde Park on the Hudson,Hyde Park on Hudson,0,2012,0,Dramatization,Based on Real Life Events,Live Action,Drama,English,brief sexuality,R,Limited,1
174390115,Nitro Circus The Movie 3D,Nitro Circus The Movie 3D,0,2012,0,Factual,Based on Real Life Events,Live Action,Documentary,English,depiction extreme dangerous stunts throughout language,PG-13,Limited,0
174240115,Atlas Shrugged Part II,Atlas Shrugged: Part II,0,2012,1,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,English,brief language,PG-13,Wide,5
176220115,Last Ounce of Courage,Last Oucne of Courage,0,2012,0,Fantasy,Original Screenplay,Live Action,Drama,English,thematic elements war images brief smoking,PG,Limited,3
172240115,Robot and Frank,Robot & Frank,0,2012,0,Science Fiction,Original Screenplay,Live Action,Drama,English,language,PG-13,Limited,1
178250115,Jab Tak Hai Jaan,Jab Tak Hai Jaan,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,Hindi,international excluded,Not Rated,Limited,1
177240115,Barfi,Barfi,0,2012,0,Historical Fiction,Original Screenplay,Live Action,Romantic Comedy,Hindi,international excluded,Not Rated,Limited,1
177370115,Met Live in HD Aida The,The Met: Live in HD - Aida,0,2012,0,Factual,Original Screenplay,Live Action,Concert/Performance,English,international excluded,Not Rated,Special Engagement,1
179910115,Talaash,Talaash,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,Hindi,international excluded,Not Rated,Limited,1
170340115,Samsara,Samsara,0,2012,0,Factual,Based on Real Life Events,Live Action,Documentary,English,disturbing sexual images,PG-13,Limited,0
172570115,Ruby Sparks,Ruby Sparks,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,English,language including sexual references drug use,R,Limited,1
181900115,Dabangg 2,Dabangg 2,0,2012,1,Contemporary Fiction,Original Screenplay,Live Action,Action,Hindi,international excluded,Not Rated,Wide,4
174930115,Omerta,Omerta,0,2012,0,Contemporary Fiction,Based on TV,Live Action,Thriller/Suspense,French,international excluded,Not Rated,Limited,1
170640115,Queen of Versailles The,The Queen of Versailles,0,2012,0,Factual,Based on Real Life Events,Live Action,Documentary,English,thematic elements language,PG,Limited,1
175650115,Ek Tha Tiger,Ek Tha Tiger,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,Hindi,international excluded,Not Rated,Limited,1
171840115,Sleepwalk With Me,Sleepwalk With Me,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,English,sexual content brief language,PG-13,Limited,1
169300115,Agneepath,Agneepath,0,2012,0,Historical Fiction,Remake,Live Action,Action,Hindi,international excluded,Not Rated,Limited,1
178500115,English Vinglish,English Vinglish,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,Hindi,international excluded,Not Rated,Limited,1
171160115,Crooked Arrows,Crooked Arrows,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,English,suggestive references,PG-13,Limited,1
171170115,Housefull 2,Housefull 2,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,Hindi,international excluded,Not Rated,Limited,1
168940115,Marley,Marley,0,2012,0,Factual,Based on Real Life Events,Live Action,Documentary,English,drug content thematic elements violent images,PG-13,Limited,0
171570115,adieux a la reine Les,Les adieux � la reine,0,2012,0,Historical Fiction,Original Screenplay,Live Action,Drama,English,brief graphic nudity language,R,Limited,2
169310115,Air Racers 3D,Air Racers 3D,0,2012,0,Factual,Based on Real Life Events,Live Action,Documentary,English,international excluded,Not Rated,Limited,0
169020115,Woman Thou Art Loosed On the 7th Day,Woman Thou Art Loosed On the 7th Day,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,English,mature thematic material violence sexuality drug alcohol content language,PG-13,Limited,1
174110115,Bol Bachchan,Bol Bachchan,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,Hindi,sequences action violence thematic elements brief mild language,PG,Limited,0
169760115,For a Good Time Call,"For a Good Time, Call",0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,strong sexual content throughout language drug use,R,Limited,4
175970115,fils de l autre Le,Le fils de l'autre,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,French,scene violence brief language drug use,PG-13,Limited,1
174920115,Cocktail (2012),Cocktail,0,2012,0,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,Hindi,international excluded,Not Rated,Limited,1
